role,key,label,mode,route,webPath,file,fileExists,mutating,webBridgeUi
"STUDENT","student-dashboard","Dashboard","web-bridge","","/student","","false","false","false"
"STUDENT","student-extracurricular","Ekstrakurikuler","web-bridge","","/student/extracurricular","","false","false","false"
"STUDENT","student-schedule","Jadwal Pelajaran","hybrid","/schedule","/student/schedule","mobile-app/app/(app)/schedule.tsx","true","false","false"
"STUDENT","student-learning","Materi & Tugas","hybrid","/learning","/student/learning","mobile-app/app/(app)/learning.tsx","true","true","false"
"STUDENT","student-attendance-history","Riwayat Kehadiran","hybrid","/attendance","/student/attendance","mobile-app/app/(app)/attendance.tsx","true","false","false"
"STUDENT","student-permissions","Perizinan","hybrid","/permissions","/student/permissions","mobile-app/app/(app)/permissions.tsx","true","true","false"
"STUDENT","student-class-attendance","Presensi Kelas","web-bridge","","/student/class-attendance","","false","false","false"
"STUDENT","student-pkl-dashboard","Dashboard PKL","web-bridge","","/student/internship/dashboard","","false","false","false"
"STUDENT","student-pkl-journal","Jurnal Harian","web-bridge","","/student/internship/journals","","false","false","false"
"STUDENT","student-pkl-attendance","Absensi PKL","web-bridge","","/student/internship/attendance","","false","false","false"
"STUDENT","student-pkl-report","Laporan PKL","web-bridge","","/student/internship/report","","false","false","false"
"STUDENT","student-exam-formatif","Formatif (Quiz)","web-bridge","","/student/exams/formatif","","false","false","false"
"STUDENT","student-exam-sbts","SBTS","web-bridge","","/student/exams/sbts","","false","false","false"
"STUDENT","student-exam-sas","SAS","web-bridge","","/student/exams/sas","","false","false","false"
"STUDENT","student-exam-sat","SAT","web-bridge","","/student/exams/sat","","false","false","false"
"STUDENT","student-grade-history","Riwayat Nilai","hybrid","/grades","/student/grades","mobile-app/app/(app)/grades.tsx","true","false","false"
"STUDENT","student-finance","Keuangan","web-bridge","","/student/finance","","false","false","false"
"STUDENT","student-profile-web","Profile","hybrid","/profile","/student/profile","mobile-app/app/(app)/profile.tsx","true","false","false"
"TEACHER","teacher-dashboard","Dashboard","hybrid","/home","/teacher","mobile-app/app/(app)/home.tsx","true","false","true"
"TEACHER","teaching-schedule","Jadwal Mengajar","hybrid","/schedule","/teacher/schedule","mobile-app/app/(app)/schedule.tsx","true","false","false"
"TEACHER","teacher-classes","Kelas & Mapel","hybrid","/teacher/classes","/teacher/classes","mobile-app/app/(app)/teacher/classes.tsx","true","false","false"
"TEACHER","attendance-teacher","Presensi Siswa","hybrid","/teacher/attendance","/teacher/attendance","mobile-app/app/(app)/teacher/attendance.tsx","true","true","false"
"TEACHER","teacher-materials","Materi & Tugas","hybrid","/teacher/materials","/teacher/materials","mobile-app/app/(app)/teacher/materials.tsx","true","true","false"
"TEACHER","grade-input","Input Nilai","hybrid","/teacher/grades","/teacher/grades","mobile-app/app/(app)/teacher/grades.tsx","true","true","false"
"TEACHER","teacher-report-subjects","Rapor Mapel","hybrid","/teacher/report-subjects","/teacher/report-subjects","mobile-app/app/(app)/teacher/report-subjects.tsx","true","false","false"
"TEACHER","teacher-cp","Capaian Pembelajaran (CP)","hybrid","/teacher/learning-cp","/teacher/learning-resources/cp","mobile-app/app/(app)/teacher/learning-cp.tsx","true","false","false"
"TEACHER","teacher-atp","Alur Tujuan Pembelajaran (ATP)","hybrid","/teacher/learning-atp","/teacher/learning-resources/atp","mobile-app/app/(app)/teacher/learning-atp.tsx","true","false","false"
"TEACHER","teacher-prota","Program Tahunan","hybrid","/teacher/learning-prota","/teacher/learning-resources/prota","mobile-app/app/(app)/teacher/learning-prota.tsx","true","false","false"
"TEACHER","teacher-promes","Program Semester","hybrid","/teacher/learning-promes","/teacher/learning-resources/promes","mobile-app/app/(app)/teacher/learning-promes.tsx","true","false","false"
"TEACHER","teacher-modules","Modul Ajar","hybrid","/teacher/learning-modules","/teacher/learning-resources/modules","mobile-app/app/(app)/teacher/learning-modules.tsx","true","false","false"
